rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
195,Washington St.,WCC,34,9-25,94.2,98.2,.3836,46.4,49.0,22.8,18.9,27.6,33.4,21.1,26.6,47.9,47.4,29.0,35.0,34.6,32.9,67.9,-17.4
196,Air Force,MWC,34,16-18,89.8,93.6,.3833,40.3,49.6,19.1,24.7,29.7,26.4,26.2,33.2,39.7,49.7,27.7,32.9,33.0,32.8,67.1,-13.8
197,Appalachian St.,SB,30,11-19,89.7,93.6,.3796,46.6,45.7,24.7,21.0,29.8,29.0,28.5,32.3,45.9,47.1,31.9,28.9,34.7,35.5,65.0,-14.5
198,SMU,ACC,30,9-21,90.7,94.8,.3764,42.4,49.3,24.2,23.0,29.3,39.2,28.2,26.7,40.1,48.0,31.4,34.8,32.2,31.3,70.5,-10.8
199,Albany,AE,30,14-16,89.7,93.8,.3759,48.2,44.5,25.2,21.2,31.2,30.1,26.0,24.8,46.7,44.5,33.9,29.7,34.8,34.2,61.1,-12.6
200,UMBC,AE,30,16-14,86.0,90.0,.3740,40.5,45.1,22.1,26.0,34.3,29.5,33.0,34.5,39.2,47.3,29.4,26.7,25.9,30.5,66.9,-11.0
201,Sacramento St.,BSky,33,15-18,86.8,90.8,.3733,45.0,43.7,26.9,24.2,33.2,33.6,21.2,28.3,44.1,43.0,30.9,30.1,38.4,32.2,66.4,-14.6
202,Eastern Washington,BSky,33,15-18,92.2,96.5,.3730,44.2,45.2,21.6,17.5,30.5,25.9,27.9,28.8,43.5,44.6,30.2,30.9,35.4,32.5,71.6,-14.1
203,Robert Morris,Horz,30,18-12,87.7,91.7,.3726,45.4,43.6,23.3,19.7,28.6,25.3,31.1,30.0,47.5,42.9,27.0,30.0,29.6,34.8,66.5,-10.3
204,Tarleton St.,WAC,31,14-17,89.2,93.3,.3719,43.9,45.6,24.3,21.1,30.7,28.8,28.0,30.3,43.0,44.3,30.6,32.1,31.1,34.7,67.7,-13.5
205,Southern Miss,SB,31,15-16,96.9,101.5,.3692,45.2,47.9,18.6,19.9,30.6,35.8,28.6,27.0,45.0,48.1,30.4,31.6,36.2,32.5,71.2,-12.0
206,Lamar,Slnd,30,20-10,87.8,92.2,.3650,45.2,44.6,25.6,27.0,38.9,30.2,34.7,34.4,43.6,46.3,32.9,27.6,27.7,34.3,66.2,-7.7
207,Boston College,ACC,31,5-26,96.3,101.2,.3631,42.3,55.1,20.1,22.0,28.2,34.3,24.9,26.9,41.0,56.1,29.7,35.6,38.0,38.1,69.6,-15.5
208,Drake,MVC,32,12-20,94.8,99.7,.3583,48.6,48.1,22.6,16.2,33.6,26.8,29.2,31.8,49.9,48.4,30.8,31.8,36.1,35.1,70.4,-15.5
