rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
1,Connecticut,BE,34,34-0,127.9,65.2,.9996,59.7,39.3,17.4,33.5,34.7,28.1,19.4,20.0,59.8,38.0,39.6,27.4,36.1,44.2,71.8,+13.6
2,UCLA,B10,32,31-1,133.5,72.4,.9991,57.2,41.2,18.3,21.1,44.0,25.3,24.0,18.5,57.6,40.5,37.5,28.3,31.5,35.7,66.9,+17.8
3,Texas,SEC,34,31-3,125.3,70.1,.9988,53.2,43.0,16.6,31.3,40.9,27.5,29.7,34.8,53.8,42.5,33.9,29.4,19.1,30.0,70.6,+15.0
4,South Carolina,SEC,34,31-3,126.7,71.3,.9986,55.4,39.8,17.4,24.4,38.9,30.1,31.4,17.1,55.3,38.6,37.1,28.1,25.2,34.3,70.2,+15.1
5,LSU,SEC,32,27-5,127.1,74.9,.9977,54.6,40.1,19.1,25.9,47.1,27.7,33.4,27.1,53.8,37.9,38.1,29.0,21.5,40.0,75.5,+9.4
6,Michigan,B10,31,25-6,116.9,73.6,.9952,51.9,45.6,19.7,28.9,40.9,27.1,30.6,30.0,52.7,44.9,33.4,31.4,29.8,34.2,72.3,+10.6
7,Duke,ACC,32,24-8,112.7,72.7,.9936,49.2,41.2,20.7,23.9,36.6,29.4,28.1,21.9,48.4,41.2,33.9,27.4,30.1,26.5,70.1,+8.3
8,Minnesota,B10,30,22-8,116.5,77.1,.9914,50.1,44.7,16.0,24.5,36.4,24.3,22.6,22.4,49.3,43.3,34.7,31.2,29.6,40.1,65.9,+5.9
9,Iowa,B10,32,26-6,115.1,76.7,.9907,54.6,46.5,20.9,21.0,31.8,24.9,27.4,18.8,54.8,45.4,36.1,32.2,31.6,36.6,70.0,+11.5
10,Vanderbilt,SEC,31,27-4,125.9,84.0,.9906,54.3,47.7,17.9,28.0,36.9,34.4,27.1,22.5,54.1,48.0,36.4,31.6,40.6,34.3,71.2,+10.4
11,Louisville,ACC,34,27-7,118.7,79.3,.9904,51.9,44.0,18.6,23.9,37.4,26.9,23.3,24.0,52.0,44.5,34.6,28.7,33.9,35.4,69.4,+8.5
12,Maryland,B10,31,23-8,117.4,79.2,.9893,51.0,44.8,21.0,26.3,42.7,29.1,30.6,24.1,51.7,42.0,32.9,33.4,32.0,34.6,71.4,+5.8
13,Ohio St.,B10,33,26-7,116.8,78.9,.9892,51.7,46.2,17.9,28.1,31.3,32.0,25.1,24.4,51.5,43.9,34.7,33.7,34.8,35.1,73.8,+10.0
14,Oklahoma,SEC,31,24-7,113.4,77.0,.9886,49.6,40.9,20.1,22.2,39.2,26.0,28.6,31.8,52.2,40.1,29.2,28.2,31.3,35.1,77.6,+7.5
15,TCU,B12,34,29-5,113.5,77.1,.9885,54.4,37.9,19.6,20.4,32.7,25.9,22.6,25.8,55.2,36.7,35.5,27.0,41.2,31.0,67.7,+7.5
16,West Virginia,B12,33,27-6,111.5,75.8,.9883,51.2,45.9,21.5,30.8,37.0,27.1,34.5,26.6,50.8,44.4,34.7,32.9,32.2,31.2,69.9,+7.9
17,Kentucky,SEC,33,23-10,115.2,78.4,.9881,51.5,41.8,18.3,19.4,35.6,25.7,26.2,26.5,52.7,41.7,33.2,28.0,41.1,32.3,67.0,+5.4
18,North Carolina,ACC,33,26-7,112.6,77.5,.9865,52.2,41.6,19.9,23.0,35.5,25.9,22.4,26.6,51.1,40.9,36.1,28.8,37.0,33.8,68.2,+6.7
19,Washington,B10,31,21-10,112.8,79.1,.9833,51.0,44.7,21.8,19.7,36.6,27.5,21.8,23.1,50.9,45.3,34.0,28.9,35.7,29.8,66.4,+5.0
20,USC,B10,30,17-13,107.6,75.8,.9824,46.7,43.7,19.7,23.9,32.8,32.2,26.4,26.8,47.5,43.8,30.3,29.0,38.8,28.4,69.6,+3.8
21,Mississippi,SEC,34,23-11,114.3,80.7,.9821,47.4,44.8,20.0,25.5,40.2,28.7,35.6,31.2,48.7,44.1,29.4,31.2,28.2,25.9,68.1,+4.6
22,Michigan St.,B10,30,22-8,116.7,82.5,.9817,54.0,48.9,17.7,27.3,34.6,30.4,31.5,25.0,53.4,48.5,36.9,33.1,32.2,36.6,71.0,+6.2
23,Notre Dame,ACC,32,22-10,113.2,80.6,.9804,51.6,47.3,17.7,27.3,29.6,30.8,24.5,27.4,51.1,47.8,35.3,30.8,28.9,31.0,71.0,+4.9
24,Tennessee,SEC,29,16-13,113.6,81.0,.9799,48.3,47.3,20.6,25.6,36.6,32.2,26.4,30.0,49.8,47.3,31.0,31.6,45.1,28.4,73.3,+2.7
25,N.C. State,ACC,30,20-10,112.6,81.4,.9766,49.5,44.6,16.8,17.8,31.6,24.3,23.0,15.9,50.4,44.9,31.5,29.4,28.9,36.4,70.8,+3.1
26,Nebraska,B10,30,18-12,116.2,84.5,.9751,53.9,50.2,19.2,25.6,31.4,30.1,26.7,27.2,54.7,52.3,35.0,30.9,35.9,35.2,70.1,+1.7
27,Villanova,BE,32,25-7,109.5,79.7,.9746,50.7,45.1,18.9,24.7,27.2,26.9,17.5,30.2,49.9,45.5,34.6,29.5,39.9,30.1,70.1,+3.2
28,Oregon,B10,34,22-12,108.5,79.2,.9741,50.7,45.5,20.4,25.2,29.4,29.7,27.3,24.9,50.5,47.1,34.2,28.4,32.2,35.2,70.7,+3.4
29,Alabama,SEC,33,23-10,109.5,80.4,.9720,51.0,43.2,21.7,21.6,30.7,29.8,27.9,26.4,49.0,42.2,36.0,30.5,39.5,30.2,66.9,+5.1
30,Texas Tech,B12,32,25-7,107.1,78.8,.9717,51.1,41.2,22.4,27.6,30.5,31.8,31.3,32.2,50.9,41.4,34.3,27.1,39.1,31.9,68.6,+3.2
31,Illinois,B10,32,21-11,115.2,84.9,.9710,50.8,46.8,17.4,21.8,33.0,26.6,29.6,28.8,49.5,47.8,36.1,29.4,28.1,28.7,69.3,+3.4
32,Georgia,SEC,31,22-9,108.9,80.3,.9710,50.5,43.4,19.8,23.2,30.2,27.1,29.1,31.8,50.8,42.7,33.4,29.6,33.4,35.6,68.3,+3.8
33,Oklahoma St.,B12,32,23-9,113.1,84.3,.9671,53.4,48.6,19.2,25.5,36.0,24.2,27.1,26.2,54.4,47.8,34.5,33.5,40.9,31.6,69.5,+2.2
34,Iowa St.,B12,31,22-9,117.1,87.4,.9666,54.7,45.3,17.5,20.4,29.8,25.6,32.9,27.9,54.7,43.5,36.5,32.5,37.5,33.6,71.4,+1.8
35,Baylor,B12,32,24-8,104.3,78.4,.9638,48.7,40.0,23.1,21.7,34.6,31.3,31.2,23.6,48.9,40.6,32.3,25.8,38.9,31.3,70.1,+5.2
36,Colorado,B12,33,22-11,105.0,79.4,.9615,46.0,44.9,23.6,25.0,37.4,26.8,32.6,33.3,47.5,44.1,27.6,30.9,25.5,35.0,67.8,+1.6
37,Virginia Tech,ACC,32,23-9,104.7,79.6,.9589,45.0,42.1,18.5,24.6,35.5,28.4,29.2,31.8,44.6,40.6,30.8,31.0,27.3,26.0,71.1,+2.5
38,Florida,SEC,33,18-15,108.5,83.7,.9520,49.4,44.9,23.1,24.6,33.9,33.8,36.4,34.7,52.1,45.0,29.0,29.7,31.4,31.9,70.0,-1.6
39,Syracuse,ACC,31,23-8,106.1,82.1,.9501,46.5,44.4,21.6,25.9,42.2,30.4,26.4,25.8,46.2,44.8,31.4,29.1,25.6,28.7,70.9,+2.7
40,Virginia,ACC,30,19-11,110.6,86.6,.9437,49.5,43.3,19.9,20.3,39.2,27.1,28.2,30.5,50.2,40.1,32.0,33.4,31.6,32.2,67.2,-0.19
41,Stanford,ACC,32,19-13,103.8,81.7,.9407,47.8,43.4,20.7,19.9,33.9,25.8,22.3,22.2,49.1,44.4,29.9,27.7,31.1,32.2,68.5,-0.9
42,Mississippi St.,SEC,31,18-13,106.5,83.8,.9407,48.5,46.3,21.2,22.0,37.3,26.7,30.2,25.6,48.7,44.9,32.0,32.5,29.3,35.3,70.7,-0.21
43,James Madison,SB,34,26-8,104.4,82.5,.9375,50.1,42.4,21.0,22.1,36.7,25.9,28.1,27.2,51.4,40.2,31.5,31.6,32.2,31.3,69.5,-1.8
44,Richmond,A10,33,26-7,109.3,86.8,.9342,55.0,43.5,20.8,22.1,29.8,30.5,20.4,18.8,54.5,43.8,37.0,28.7,49.6,35.6,65.8,-0.40
45,Arizona St.,B12,34,24-10,98.5,78.3,.9332,46.3,44.3,23.2,27.1,30.7,28.1,29.8,28.7,47.2,44.4,29.3,29.5,26.1,40.5,68.5,+1.9
46,Indiana,B10,32,18-14,109.7,87.4,.9310,53.8,46.1,22.0,16.9,23.4,31.5,30.4,25.0,52.5,46.0,37.5,30.9,35.9,29.2,68.4,+0.7
47,California,ACC,33,19-14,104.6,83.9,.9266,49.8,43.5,22.7,20.2,31.6,30.4,31.4,23.4,50.5,42.2,32.4,31.7,39.5,24.3,67.4,-1.9
48,Kansas,B12,32,19-13,107.5,86.3,.9258,53.0,45.3,23.6,21.3,27.5,29.3,36.9,30.4,53.7,45.3,34.3,30.2,30.9,36.2,67.6,-0.8
49,Clemson,ACC,32,21-11,103.9,83.9,.9217,50.2,44.9,19.5,21.2,32.4,24.8,26.6,23.2,49.5,43.0,34.2,32.7,41.2,30.4,63.4,+2.0
50,Princeton,Ivy,29,26-3,109.5,88.5,.9204,50.9,46.0,19.4,25.7,35.2,31.6,29.6,23.7,50.8,44.7,34.1,32.3,32.8,33.7,65.9,+3.5
51,Texas A&M,SEC,26,14-12,101.7,82.2,.9204,43.7,44.9,23.6,22.8,32.2,34.3,34.2,29.7,43.2,43.3,30.0,32.1,31.5,33.8,69.2,+1.8
52,South Dakota St.,Sum,33,27-6,107.5,87.0,.9188,54.5,43.7,19.5,19.1,31.6,24.1,30.5,21.3,55.4,44.0,35.1,28.9,34.7,40.6,67.7,+0.6
53,Kansas St.,B12,35,18-17,105.1,85.7,.9123,49.6,47.5,20.6,23.8,27.1,30.6,27.7,28.5,48.0,46.7,34.8,32.7,37.5,36.3,69.4,-2.1
54,Utah,B12,31,19-12,103.5,84.9,.9075,50.6,44.9,24.9,19.3,30.2,26.0,25.5,23.7,49.7,43.6,34.4,31.5,45.2,34.1,68.4,-0.17
55,BYU,B12,33,22-11,101.7,84.1,.8991,47.0,42.3,23.7,24.0,34.4,31.0,30.3,31.4,47.7,42.8,30.7,27.7,42.7,36.3,70.6,+1.2
56,Seton Hall,BE,31,19-12,102.4,84.8,.8976,46.7,47.6,21.8,24.9,32.7,30.5,28.5,19.1,45.5,47.5,32.4,31.9,37.1,42.6,68.8,-2.1
57,Marquette,BE,30,18-12,103.2,85.9,.8921,50.8,44.4,24.1,19.5,31.4,31.3,23.2,20.6,49.5,45.8,35.5,27.9,34.5,34.3,66.9,-2.6
58,Rhode Island,A10,32,28-4,103.0,85.8,.8914,46.7,41.5,17.9,21.6,33.1,25.6,29.2,18.8,48.2,41.2,29.0,28.3,31.1,29.0,64.9,+0.9
59,Fairfield,MAAC,32,28-4,103.6,86.3,.8907,55.0,43.4,19.0,29.2,27.4,28.1,22.0,30.5,54.5,44.4,37.0,27.5,51.6,31.1,68.5,+0.38
60,Georgia Tech,ACC,32,14-18,95.4,79.6,.8889,44.4,42.3,22.8,18.8,28.5,28.0,30.0,23.4,46.1,42.0,27.0,28.4,29.9,33.9,71.3,-5.2
61,Columbia,Ivy,28,20-8,102.3,85.4,.8884,49.5,45.9,24.1,27.8,40.2,29.8,25.9,30.6,51.0,44.5,31.3,33.0,35.1,28.2,69.6,-2.3
62,Gonzaga,WCC,33,24-9,106.3,89.0,.8850,51.4,44.9,24.2,19.6,39.5,25.8,28.5,27.7,48.3,45.4,39.0,29.4,30.6,35.2,68.3,-3.3
63,George Mason,A10,32,23-9,99.1,83.1,.8834,44.2,44.3,18.6,26.9,34.3,31.1,26.0,30.4,42.0,46.5,32.7,26.5,31.3,33.1,67.9,-2.2
64,North Dakota St.,Sum,32,28-4,107.6,90.5,.8792,53.2,43.9,17.1,21.5,32.8,22.8,39.3,30.0,52.7,43.3,36.2,30.5,29.9,25.0,67.6,-0.41
65,Miami FL,ACC,31,17-14,102.5,86.4,.8770,48.5,46.3,19.9,20.2,32.5,27.5,28.2,22.3,50.2,46.5,30.0,30.6,31.7,36.9,68.8,-1.7
66,Montana St.,BSky,32,25-7,97.0,82.6,.8639,46.6,47.0,20.4,33.3,33.9,33.2,25.8,33.7,47.7,45.7,29.9,32.8,38.1,37.8,72.4,-2.5
67,Harvard,Ivy,29,18-11,96.9,82.8,.8603,45.0,44.6,23.0,28.2,39.7,29.9,22.0,32.4,44.5,43.6,30.6,31.3,33.4,30.6,67.0,-4.6
68,Creighton,BE,31,16-15,104.5,89.3,.8594,47.1,48.4,19.8,19.3,27.9,27.1,22.4,24.2,46.1,47.5,32.2,33.5,44.0,33.5,68.5,-4.7
69,Wisconsin,B10,30,13-17,105.5,90.1,.8587,48.7,49.7,23.2,19.9,32.7,32.6,20.3,30.8,46.7,50.2,34.4,32.5,40.5,35.3,68.2,-2.3
70,Colorado St.,MWC,34,27-7,99.9,85.5,.8566,47.7,40.7,16.1,20.1,22.9,25.3,29.0,27.0,47.3,39.2,32.3,28.8,35.7,37.2,64.7,-2.6
71,Penn St.,B10,29,11-18,109.0,93.9,.8472,51.7,52.0,24.0,18.7,32.3,32.1,22.4,27.4,52.1,51.0,33.8,36.0,32.9,34.1,74.7,-3.4
72,Miami OH,MAC,34,28-6,96.8,83.7,.8419,51.7,43.5,22.5,28.0,25.8,31.0,27.0,29.8,50.7,42.4,35.3,30.4,43.7,34.4,68.2,-2.3
73,San Diego St.,MWC,30,25-5,102.6,89.1,.8362,51.0,43.9,18.3,20.5,25.8,25.9,23.3,25.5,48.9,41.6,36.1,32.5,40.1,31.6,66.9,-0.8
74,Purdue,B10,30,13-17,103.9,90.2,.8357,49.1,50.5,22.0,21.1,31.7,28.6,24.2,33.1,48.6,48.3,33.2,36.4,36.4,34.5,68.8,-3.0
75,South Florida,Amer,32,20-12,101.2,87.9,.8347,47.2,43.4,21.4,19.8,34.1,30.5,28.7,28.6,47.5,42.0,30.9,30.9,24.0,31.7,69.6,-3.6
76,Georgetown,BE,31,14-17,97.3,84.6,.8325,44.4,46.4,25.0,26.0,37.4,33.7,28.7,26.6,44.1,46.1,29.9,31.4,34.3,36.4,66.8,-7.1
77,Missouri,SEC,32,16-16,106.8,93.0,.8314,50.9,47.7,22.0,16.4,23.4,33.2,32.8,21.0,49.9,47.7,34.9,31.9,42.7,38.2,70.8,-2.5
78,Georgia Southern,SB,30,23-7,101.6,88.6,.8273,49.6,44.3,19.6,22.4,28.2,33.5,30.5,27.1,49.8,44.0,32.9,30.1,36.1,28.1,65.9,-2.2
79,Oregon St.,WCC,34,23-11,99.7,87.4,.8198,49.1,42.5,21.7,16.3,32.4,28.0,31.1,17.1,48.7,40.9,33.3,30.6,30.9,32.2,65.5,-4.1
80,UNLV,MWC,32,21-11,103.6,91.3,.8115,48.1,44.9,19.1,18.5,29.6,26.8,27.2,18.4,46.7,42.8,33.8,32.2,35.2,36.7,67.7,-5.7
81,Rice,Amer,33,28-5,98.6,86.9,.8106,45.5,41.7,18.9,23.3,31.1,28.1,27.1,28.3,43.6,41.8,32.7,27.6,34.6,21.6,69.1,-1.0
82,Davidson,A10,33,21-12,96.1,84.8,.8095,49.2,45.5,22.9,25.7,30.7,26.7,25.7,29.6,48.6,44.3,33.3,32.6,39.0,27.2,66.1,-5.9
83,St. John's,BE,33,22-11,98.0,86.4,.8095,49.6,44.1,25.7,19.3,29.7,28.5,31.5,21.5,52.2,44.1,30.0,29.4,36.0,31.6,65.9,-1.7
84,Ball St.,MAC,33,26-7,101.8,89.9,.8072,51.6,43.0,22.8,21.0,35.1,27.1,31.4,26.1,52.4,41.5,33.5,30.4,35.5,36.9,73.5,-3.0
85,Auburn,SEC,32,15-17,92.0,81.6,.7980,42.5,47.7,23.5,28.5,29.4,34.9,28.3,31.8,43.3,47.4,27.0,32.2,29.3,34.3,66.4,-1.9
86,Louisiana Tech,CUSA,32,26-6,101.0,89.7,.7974,49.9,45.3,23.6,27.6,37.2,33.6,30.2,30.0,48.7,45.5,34.7,29.9,35.8,32.8,66.6,-2.7
87,Troy,SB,32,25-7,100.1,89.1,.7933,45.6,43.4,21.5,20.8,40.8,26.3,28.2,25.1,44.7,43.6,31.8,28.6,30.7,38.0,76.3,-2.5
88,Green Bay,Horz,33,25-8,97.5,87.0,.7870,49.5,43.8,18.9,21.7,24.6,26.3,25.8,21.5,49.7,42.2,32.8,30.8,32.2,40.2,67.2,-3.6
89,Idaho,BSky,34,29-5,97.0,86.6,.7860,46.5,42.3,20.8,20.8,38.1,25.1,28.0,25.2,47.1,39.5,30.2,31.5,31.7,37.0,73.6,-2.3
90,Santa Clara,WCC,33,24-9,103.6,92.7,.7824,46.1,45.5,15.2,21.6,31.8,30.6,28.3,24.4,45.6,45.0,31.2,31.1,43.0,28.9,74.5,-4.2
91,UC Irvine,BW,32,26-6,100.5,90.1,.7789,47.6,41.3,18.5,23.7,31.4,27.6,38.2,29.6,43.2,42.1,35.7,26.9,42.9,41.0,66.2,-4.1
92,McNeese St.,Slnd,33,28-5,94.3,84.8,.7712,44.5,45.6,15.8,34.5,30.6,30.5,24.4,37.1,43.0,45.3,32.8,30.7,24.4,40.3,66.4,-1.9
93,Cincinnati,B12,31,11-20,103.6,93.3,.7674,44.3,49.9,23.4,19.8,38.7,31.8,33.6,30.9,43.3,47.8,31.5,35.9,26.1,34.0,70.0,-8.7
94,Vermont,AE,34,27-7,96.5,87.0,.7660,49.5,41.2,17.4,22.5,28.5,28.2,20.5,23.2,49.3,42.7,33.3,24.9,32.3,28.7,62.7,-4.4
95,Quinnipiac,MAAC,32,26-6,96.5,87.2,.7630,49.8,41.0,18.4,24.7,31.7,26.0,21.7,25.3,47.2,40.1,36.1,28.6,37.2,31.4,64.1,-4.1
96,Saint Joseph's,A10,31,20-11,98.7,89.2,.7630,48.7,44.4,22.0,23.1,30.4,29.5,31.4,27.8,48.3,42.0,32.8,33.1,36.7,31.8,65.9,-5.9
97,Loyola Marymount,WCC,30,21-9,101.2,91.6,.7596,46.4,49.4,18.6,26.6,34.6,30.9,30.6,31.6,45.9,49.8,31.8,32.2,27.0,29.4,67.2,-6.0
98,North Texas,Amer,33,19-14,95.0,86.3,.7508,44.2,44.0,23.3,24.4,35.8,28.6,33.1,31.3,42.3,43.2,33.3,30.5,25.7,32.2,70.3,-9.2
99,Florida St.,ACC,31,10-21,99.9,90.8,.7500,43.7,47.1,19.8,18.5,30.3,31.7,26.4,26.8,42.3,46.9,30.7,31.7,38.3,33.4,73.9,-7.7
100,Massachusetts,MAC,30,23-7,96.5,87.8,.7481,47.2,44.0,20.9,26.9,35.9,32.9,25.5,26.2,47.6,44.6,30.9,28.7,29.2,39.7,68.5,-4.2
101,Murray St.,MVC,34,31-3,106.4,97.0,.7433,50.3,47.3,17.2,18.1,31.9,27.1,38.2,24.2,52.4,48.1,31.4,30.1,39.9,25.4,73.4,+0.41
102,Arkansas St.,SB,33,24-9,93.8,85.6,.7406,45.3,45.7,22.3,33.6,35.7,38.7,25.6,40.2,46.8,47.8,29.3,27.2,50.1,29.3,75.6,-5.5
103,Arkansas,SEC,32,12-20,97.5,89.3,.7354,44.2,47.8,21.7,19.7,31.2,33.4,28.7,23.4,41.9,47.4,32.0,32.3,37.1,37.5,73.9,-6.5
104,Lindenwood,OVC,33,25-8,105.4,96.6,.7313,53.8,48.3,19.7,23.5,29.9,30.2,25.4,25.0,52.3,48.5,37.4,31.9,38.9,34.6,65.7,-4.3
105,Butler,BE,31,12-19,95.4,87.6,.7255,48.5,46.4,26.1,21.0,26.8,31.4,27.4,23.1,49.1,46.6,31.7,30.8,37.5,29.4,67.4,-9.7
106,Western Illinois,OVC,31,26-5,100.4,92.3,.7240,50.7,43.8,16.7,21.5,25.3,26.5,36.8,25.4,50.2,42.8,34.8,30.4,26.1,36.8,68.4,-2.7
107,Arizona,B12,30,12-18,96.7,89.8,.7021,48.1,49.2,21.9,24.9,22.0,30.6,31.9,32.1,49.0,49.7,30.1,32.2,24.2,37.0,72.9,-7.9
108,Abilene Christian,WAC,33,23-10,97.3,90.3,.7014,46.7,48.5,22.0,28.7,33.0,27.7,30.5,28.2,47.6,49.7,30.4,30.9,42.7,34.8,67.4,-7.4
109,Hawaii,BW,33,22-11,92.2,85.7,.6994,48.6,40.3,24.1,19.3,29.2,27.7,27.3,24.8,46.4,38.7,34.8,28.7,36.8,35.6,65.9,-8.3
110,New Mexico,MWC,32,22-10,96.6,89.8,.6985,46.5,44.9,21.2,23.0,34.6,25.2,23.8,25.8,46.8,44.4,30.7,30.5,39.8,37.2,68.1,-5.7
111,Northwestern,B10,29,8-21,100.8,93.8,.6975,47.2,50.2,22.4,17.7,28.4,35.2,27.0,28.0,47.7,49.7,30.6,34.2,30.4,33.1,68.9,-7.1
112,UC San Diego,BW,32,24-8,95.6,89.4,.6844,47.3,44.9,17.7,27.2,24.7,31.0,27.7,25.8,47.5,44.2,31.4,30.7,32.5,38.4,70.2,-5.1
113,Cal Baptist,WAC,33,23-10,97.4,91.2,.6818,48.1,43.0,20.0,20.6,28.6,26.1,21.2,29.9,49.8,40.0,30.5,32.2,43.3,35.6,72.8,-6.8
114,Boise St.,MWC,34,25-9,97.6,91.4,.6803,48.8,44.7,21.2,21.5,29.7,27.6,28.1,25.1,45.0,45.9,38.3,28.5,30.3,39.2,69.9,-5.2
115,Central Arkansas,ASun,32,21-11,93.3,87.5,.6781,46.5,41.3,19.7,22.5,32.1,23.3,21.5,38.3,47.2,40.0,30.3,29.0,43.0,37.7,67.1,-8.7
116,Providence,BE,33,15-18,92.7,87.1,.6719,42.9,46.6,24.0,23.2,32.5,30.8,26.5,26.1,43.3,45.9,27.9,31.9,29.1,37.3,67.8,-8.4
117,Southern Indiana,OVC,31,21-10,94.4,88.8,.6703,44.6,44.3,21.1,24.5,35.5,29.0,28.2,31.1,43.3,44.7,31.8,29.2,28.8,44.1,68.5,-7.5
118,Belmont,MVC,32,20-12,96.1,90.4,.6689,45.9,43.8,17.8,23.5,28.9,34.1,30.8,31.6,45.5,44.1,30.9,28.9,40.5,37.4,68.8,-5.7
119,Portland,WCC,32,18-14,91.6,86.2,.6679,46.2,45.1,23.4,26.9,27.9,36.4,25.6,30.8,44.3,45.2,33.1,29.9,35.5,27.2,71.8,-8.5
120,Pepperdine,WCC,31,19-12,97.7,92.2,.6621,50.7,43.8,23.3,18.8,28.5,27.9,26.2,25.6,50.3,41.3,34.2,32.7,36.9,32.0,69.1,-8.1
121,Eastern Kentucky,ASun,32,24-8,93.2,88.1,.6582,47.7,42.1,19.1,24.0,28.7,27.1,28.3,27.0,48.7,44.4,30.7,25.0,40.8,34.4,70.3,-5.7
122,Wake Forest,ACC,31,14-17,96.2,90.9,.6569,50.6,44.6,23.4,19.7,24.9,33.0,24.6,19.7,50.5,43.6,33.9,31.0,35.0,36.6,67.5,-7.3
123,Charleston,CAA,32,27-5,97.4,92.4,.6483,45.1,45.0,18.1,27.0,38.4,31.3,24.3,19.5,43.3,43.5,32.5,31.7,34.0,36.8,69.5,-3.1
124,Marshall,SB,32,23-9,98.3,93.4,.6444,48.9,45.1,21.9,27.1,32.9,40.9,28.3,24.5,49.1,44.5,32.4,30.9,45.6,32.7,67.3,-4.5
125,UTSA,Amer,33,18-15,88.5,84.0,.6435,43.0,41.9,26.9,22.0,36.1,29.0,29.0,22.0,43.2,41.0,28.3,29.1,25.9,35.2,66.0,-9.5
126,Navy,Pat,30,22-8,94.9,90.4,.6345,47.2,43.6,18.4,22.6,31.5,28.6,24.5,25.1,48.1,43.7,30.6,28.8,37.7,32.5,69.9,-5.9
127,Missouri St.,CUSA,34,22-12,90.8,87.0,.6213,44.3,42.0,24.8,22.3,34.0,26.8,38.9,30.1,44.2,41.3,29.8,29.0,25.1,29.4,69.9,-8.9
128,Fairleigh Dickinson,NEC,34,30-4,95.3,91.3,.6206,49.6,39.5,20.7,21.6,39.1,27.5,20.1,24.8,48.1,38.0,34.4,29.2,43.4,26.1,63.2,-2.4
129,Penn,Ivy,27,17-10,94.3,90.5,.6158,45.1,43.5,22.1,22.8,32.2,32.6,23.6,22.1,45.0,40.7,30.1,32.4,38.4,34.8,66.0,-6.0
130,East Carolina,Amer,32,22-10,94.0,90.3,.6150,43.8,45.4,20.3,28.6,34.2,34.5,32.5,34.5,43.0,45.7,30.5,29.9,29.8,29.3,72.3,-7.3
131,South Dakota,Sum,32,23-9,93.3,89.6,.6137,44.7,41.3,18.6,20.9,30.1,26.0,31.1,34.6,44.0,41.1,31.0,27.9,28.2,31.8,67.6,-5.5
132,Purdue Fort Wayne,Horz,33,20-13,93.2,89.6,.6116,49.5,45.6,19.3,25.0,21.6,27.9,28.2,28.5,51.1,45.7,31.3,30.3,37.7,34.7,71.3,-9.4
133,Grand Canyon,MWC,32,13-19,91.1,87.6,.6113,45.1,45.5,24.6,23.1,31.8,26.3,28.5,30.0,46.0,45.9,29.1,29.8,37.0,29.0,71.5,-12.8
134,Northern Colorado,BSky,32,22-10,92.1,88.6,.6107,45.3,45.0,26.3,26.4,37.6,32.0,32.1,30.2,46.3,46.5,29.0,28.1,34.6,34.9,67.2,-7.0
135,Rutgers,B10,29,9-20,92.2,88.9,.6039,41.5,48.5,24.4,20.9,32.3,35.4,30.9,29.2,40.4,47.2,29.2,33.9,33.6,36.1,67.3,-6.9
136,Liberty,CUSA,31,18-13,96.3,93.1,.5973,48.9,44.1,26.0,20.1,35.8,28.3,26.5,28.8,45.9,43.8,36.4,29.8,33.8,37.4,64.8,-9.0
137,Northern Iowa,MVC,32,18-14,93.1,90.1,.5919,47.8,44.6,19.9,20.3,26.3,26.5,30.8,24.8,46.0,41.3,34.1,33.5,36.2,36.3,67.8,-9.3
138,Temple,Amer,32,15-17,94.9,91.9,.5917,44.4,46.9,23.3,23.3,34.2,31.1,29.0,28.3,42.3,45.5,32.6,33.2,32.1,32.7,71.2,-10.6
139,UC Santa Barbara,BW,30,20-10,93.9,91.1,.5872,49.4,42.3,20.2,19.6,23.0,26.7,26.3,26.3,49.2,44.0,33.2,26.1,47.5,36.3,66.2,-7.2
140,Brown,Ivy,27,16-11,88.8,86.1,.5865,44.1,41.9,23.8,23.5,34.7,30.4,25.2,23.6,43.9,41.4,29.6,28.4,38.4,38.6,67.9,-7.3
141,Ohio,MAC,31,18-13,95.5,92.6,.5864,47.9,48.0,22.9,27.3,29.9,35.4,33.2,28.6,47.5,47.6,32.2,32.4,49.0,46.0,74.2,-10.0
142,Xavier,BE,30,11-19,91.3,88.7,.5834,44.4,47.3,24.8,23.0,27.5,35.3,21.2,26.4,45.5,45.7,28.3,33.1,35.9,40.6,67.2,-10.8
143,Central Michigan,MAC,30,18-12,96.1,93.4,.5802,47.5,46.1,25.9,20.7,39.8,26.5,34.7,29.1,45.8,46.5,35.0,30.3,25.2,36.7,69.9,-6.9
144,Idaho St.,BSky,30,19-11,89.5,87.1,.5789,43.3,44.0,23.0,25.8,35.9,24.8,27.6,33.6,43.2,42.4,29.0,30.9,24.7,40.8,69.2,-8.0
145,Army,Pat,31,24-7,94.1,91.7,.5725,47.0,45.5,19.9,25.0,31.8,23.9,30.8,27.8,45.8,45.2,32.6,30.9,37.4,28.6,64.8,-5.0
146,Jacksonville,ASun,32,24-8,92.6,90.3,.5722,44.0,44.7,20.3,25.3,30.5,30.9,42.0,35.6,43.9,46.2,29.5,28.2,26.7,38.2,74.7,-3.9
